id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2022-03-29T11:30:29;Loop;CANCELLED;PAYPAL;2022-03-29T05:50:54;22604
2;calculating;2022-03-29T11:58:52;haptic 1080p;ISSUED;PAYPAL;2022-03-28T23:12:32;10489
3;national Frozen Berkshire;2022-03-29T12:13:42;Account Borders Home;PAID;CREDIT_CARD;2022-03-29T02:56:33;36325
4;monitor;2022-03-28T22:16:18;parse intuitive Division;CANCELLED;PAYPAL;2022-03-28T23:51:19;13687
5;synergy transmitting;2022-03-28T22:18:33;parse Gloves;ISSUED;PAYPAL;2022-03-29T06:55:11;92472
6;function;2022-03-29T03:12:01;Fresh;CANCELLED;CASH_ON_DELIVERY;2022-03-29T14:19:02;26944
7;Maine;2022-03-29T13:38:24;RAM;ISSUED;PAYPAL;2022-03-29T18:40:16;32458
8;Analyst Agent;2022-03-29T17:33:06;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2022-03-29T14:34:48;79389
9;Salad;2022-03-28T23:41:48;Gorgeous;ISSUED;CREDIT_CARD;2022-03-29T08:28:12;62169
10;Pants Wooden Intuitive;2022-03-29T09:05:45;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2022-03-29T05:00:22;58737
