id;placed_date;status;code;invoice_id;customer_id
1;2022-03-29T11:06:45;COMPLETED;Electronics;57858;1
2;2022-03-29T14:44:45;CANCELLED;withdrawal virtual;42917;2
3;2022-03-28T21:47:05;COMPLETED;compress Soft cross-platform;960;1
4;2022-03-29T07:56:37;COMPLETED;Expanded;88753;2
5;2022-03-29T04:04:47;CANCELLED;Hat;10576;1
6;2022-03-29T04:43:33;PENDING;Regional harness Holy;55347;1
7;2022-03-28T20:44:20;COMPLETED;Decentralized Visionary;88231;1
8;2022-03-28T23:03:19;COMPLETED;Credit Soft Cotton;23331;2
9;2022-03-29T02:31:45;PENDING;Implemented;30578;2
10;2022-03-29T14:43:38;PENDING;solution protocol;72463;2
